sentiment,word
0.0,10-godzinny
0.0,10-groszowy
0.0,10-groszowy
0.0,10-kilometrowy
0.0,100-dolarowy
0.0,100-kilometrowy
0.0,100-procentowy
1.0,100-procentowy
2.0,100-procentowy
0.0,12-godzinny
0.0,126p
0.0,13-funtowy
0.0,2-kilometrowy
0.0,2-strzałowy
0.0,20-dniowy
0.0,20-funtowy
0.0,20-funtowy
0.0,20-godzinny
0.0,20-metrowy
0.0,20-metrowy
0.0,24-godzinny
0.0,24-godzinny
0.0,24-godzinny
0.0,24-stopniowy
0.0,3-kilometrowy
0.0,3-litrowy
0.0,3-strzałowy
0.0,30-funtowy
0.0,30-godzinny
0.0,30-metrowy
0.0,30-metrowy
0.0,4-kilometrowy
0.0,40-funtowy
0.0,40-godzinny
0.0,40-metrowy
0.0,40-metrowy
0.0,40-milionowy
0.0,40-procentowy
0.0,40-procentowy
0.0,5-groszowy
0.0,5-kilometrowy
0.0,5-strzałowy
0.0,50-funtowy
0.0,50-funtowy
0.0,50-metrowy
0.0,50-metrowy
0.0,50-procentowy
0.0,50-procentowy
0.0,6-funtowy
0.0,6-kilometrowy
0.0,6-strzałowy
0.0,60-funtowy
0.0,60-godzinny
0.0,60-metrowy
0.0,60-metrowy
0.0,60-procentowy
0.0,60-procentowy
0.0,7-kilometrowy
0.0,7-strzałowy
0.0,70-funtowy
0.0,70-funtowy
0.0,70-metrowy
0.0,70-metrowy
0.0,70-procentowy
0.0,8-godzinny
0.0,8-kilometrowy
0.0,8-strzałowy
0.0,80-funtowy
0.0,80-funtowy
0.0,80-metrowy
0.0,80-metrowy
0.0,80-procentowy
0.0,80-procentowy
0.0,9-kilometrowy
0.0,90-funtowy
0.0,90-funtowy
0.0,90-metrowy
0.0,90-metrowy
0.0,90-procentowy
0.0,90-procentowy
0.0,A0
0.0,abamper
0.0,abandon
0.0,abat
0.0,abazja
-2.0,abderyta
0.0,aberracja
0.0,aberracja chromatyczna
0.0,aberracja sferyczna
-1.0,aberracyjny
0.0,abfarad
0.0,abisal
0.0,abisobental
0.0,abisobiont
0.0,abkulomb
0.0,ablegat
0.0,ablegat
0.0,ablutomania
1.0,abnegat
-2.0,abnegat
0.0,abolicja
-2.0,abominacja
0.0,abonencki
0.0,abordaż
0.0,abordażowy
0.0,aborygen
0.0,Aborygen
0.0,abroma
0.0,abrozaur
-1.0,ABS
0.0,absces
0.0,absencja
-2.0,absmak
0.0,absolutność
0.0,absolutny
0.0,absolutny
0.0,absolutny
0.0,absolutysta
0.0,absolutystyczny
0.0,absolutystyczny
-1.0,absolutystyczny
0.0,absorpcyjny
0.0,absorpcyjny
0.0,absorpcyjny
0.0,abstrakcjonista
0.0,abstrakcjonistyczny
0.0,abstrakcjonistyczny
0.0,abstrakcjonistyczny
-1.0,abstrakcyjność
0.0,abstrakcyjność
-1.0,abstrakcyjny
0.0,abstrakcyjny
0.0,abstrakcyjny
0.0,abstrakcyjny
0.0,abstrakcyjny
-1.0,abstraktowy
0.0,abstynencja
-2.0,absurd
-2.0,absurdalność
-2.0,absurdalny
0.0,absyda
0.0,abulia
0.0,abwolt
0.0,abysobental
-1.0,achajski
0.0,achalazja
0.0,achimenes
0.0,achromatyczny
0.0,achylia
0.0,acykliczność
0.0,adaks
0.0,adaktylia
0.0,Adam Słodowy
0.0,adamsyt
0.0,adaptacja
0.0,adaptatywny
0.0,addytywność
0.0,addytywny
0.0,addytywny
1.0,adekwatność
1.0,adekwatny
0.0,adelfofagia
0.0,adelobasileus
0.0,adelofagia
