comment,emotion,rate
"Strzał w kolano dla wszystkich facetów                        Starałem się przeczytać książkę. Uwierzcie mi, naprawdę się starałem. Jednak nie wytrzymałem wyidealizowanego opisu postaci Greya. Młody, przystojny, milioner, demon seksu, właściciel ogromnej korporacji i do tego z mnóstwem wolnego czasu, który w całości poświęca kobiecie. Powinien jeszcze w międzyczasie ratować świat.Jaki będzie efekt? Wszystkie kobiety wyjdą rozmarzone ...              ",positive,6
"Śmierdzące gówno w srebrnym celofaniku...                        Włączam ja sobie to filmidło, oczywiście z wielkimi obawami. No i nie zawiodłem się bo oczekiwania miałem takie, jakbym korzystał z kibla postawionego na środku opuszczonej wsi. Mierne aktorstwo, początkujący lub pozbawieni talentu tzw. ""aktorzy"", którzy mogą być idolami najwyżej nastolatków z polskiego gimnazjum. Zero klimatu, pikanterii, tajemnicy, niedomówień. Treść bez ...              ",negative,2
"Całkowite zaskoczenie                        Od razu zaznaczę, że nie czytałam książki. Do filmu podchodziłam delikatnie mówiąc sceptycznie, a tak naprawdę chciałam go obejrzeć tylko po to, by móc go skrytykować. Nastawiałam się, że jest to film dla nastolatek, epatujący wulgarnym seksem i żadnemu dorosłemu człowiekowi ze zdrowym i dojrzałym podejściem do seksualności się nie spodoba. I tutaj następuje chwila konsternacji... Gdyż z bólem ...              ",positive,6
"""Boże, zaraz się zrzygam""..                        Słowa Koroniewskiej chyba najlepiej opisują to dzieło.Wszystko w tym filmie było złe; ""fabuła"", postaci, aktorzy, najgorsze na świecie dialogi. Totalny dramat, gorszy nawet od ""Zmierzchu"". Plus za realizm typu prawdziwe cycki, włosy łonowe, bujne owłosienie na udach kobiety i pryszcze na klacie kolesia. Typka przez 99% filmu wyglądała jakby się miała zaraz rozpłakać, koleś totalna pustka ...              ",negative,1
"Jak ""Zmierzch""                        nie wiem czy ktos to zauważył ale mnie zalatuje Zmierzchem. Dialogi takie jak ""powinnaś sie trzymać ode mnie z daleka"", sama gra aktorów. Dopiero widziałam 15 min filmu a juz mnie roznosi ta zmierzchowa oschłość...              ",positive,8
"Nie tak złe, jak sądziłam.",neutral,5
"Może gdyby ktoś próbował uratować ten film przed dialogami i chłopięcym Greyem...                        Dialogi były tak złe jak tylko mogły. Oglądaliśmy ten film w łóżku z narzeczonym i przez większość filmu skręcaliśmy się ze śmiechu przy każdym dialogu (najlepszy był fragment: ""I don't make love. I f..k. Hard.""). To było naprawdę złe. Dakota jeszcze coś tam próbowała (choć dla mnie jest raczej brzydka i aseksualna), ale to na niewiele ...              ",negative,2
"Film dla ""ajfonowych"" lemingów z ujemnym IQ.                        Ten film nie jest filmem.Darwin nie miał racji...ewolucja ukierunkowana jest w stronę małpy a nie na odwrót.Niskie pobudki,wyzelowane z wartości życie i zapampersione marzenia.Duplikat staje się powtórką remake'ów.              ",negative,1
"""Porno"" dla ubogich (mieszczek)                        Dla młodszych nastolatek i znudzonych gospodyń domowych na podobnym poziomie rozwoju intelektualnego i emocjonalnego.Filmidło, romansidło jadące na kilku chamskich zasadach.Że każda potwora marzy o rycerzu w lśniącej zbroi, czyli... kimkolwiek bogatym (a która nie puści się za dobry samochód, laptopa i kilka innych dodatków?).Że ""jak bije, to kocha"" (a za mniejsze gifty wiele ...              ",negative,4
"Słabo                        Gra aktorska na poziomie polskiej reprezentacji piłki nożnej. Drewno. Ogólnie to naiwny film o krzywdzącej miłości, nic specjalnego.              ",negative,3
"To najbardziej antyfeministyczna rzecz w dziejach świata i to nawet nie dlatego że on ją napier*dala po dupie czy po czym tam.                        Rzecz w tym że Christianek jest w tym filmie wyidealizowaną studnią bez dna (Adonis z sześciopakiem, rucha jak Zeus, forsy ma jak wujek Sknerus, mówi po Francusku, gra na fortepianie, pilotuje helikopter, zbudował syna, zasadził dom, spłodził drzewo), a Anastasia nie prezentuje sobą nic. To ...              ",negative,1
"Prawdziwy dramat                        Na wstępię napiszę,iz nie przeczytalam ksiazki i uwazam ze nie jest to warunek aby ocenic film.Zaloze sie ze wiekszosc z was obejrzala niejeden film,nie siegajac wczesniej po ksiazke.Gra aktorska Dakoty Johnson w tym filmie to amatorszczyzna az do bolu.W90% filmu ma oczy jelonka,przygryzione usta i wciąż wzdycha.Jej reakcje byly przerysowane az nienaturalne.Komedią było jej przezywanie orgazmu ...              ",negative,1
"Jestem mile zaskoczona.                        Nasłuchałam się tylu niepochlebnych opinii na temat tego filmu, że całkowicie straciłam ochotę na obejrzenie go. Wczoraj jednak w końcu się na to zdecydowałam, aby zobaczyć czy jest to rzeczywiście ""ścierwo nie do obejrzenia"". Jestem pozytywnie zaskoczona. Film był treściwy, sceny nie były wydłużane, a ja nie zerkałam co chwilę na zegarek aby sprawdzić kiedy to w końcu się skończy. Od razu ...              ",positive,7
Jaki utwór Grey gra na fortepianie?                        Znam go bardzo dobrze ale nie pamiętam jak się nazywa.              ,positive,6
Film                         Za mało Złotych Malin.               ,negative,1
"Hmm... budżet: 40 000 000 $                        Wie ktoś może, co w tym badziewiu mogło kosztować aż 40 milionów dolarów amerykańskich?!               ",negative,1
"dno i nuda                        Jeden  z najgorszych filmów jakie widziałem ostatnimi laty. Przede wszystkim nudny potwornie, dłużyzny, niczemu nie służące sceny i ujęcia. To co miało podniecać śmieszy. To co miało wzruszać wywołuje jedynie wzruszenie ramion.Historia kompletnie oderwana od rzeczywistości, naiwna i wyglądająca na wizję ośmiolatka który podglądał raz przez 30 sekund co rodzice robią w sypialni. Gdyby nie marketing to pies z ...              ",negative,2
"szału nie ma, panie                        Nudny, wtorny, niebezpieczny dla młodych dziewcząt z niepoukładanymi wartościami. I nie wiem jak mozna dac tu 10/10, film nie zasłuzył na wysokie noty. Historia jest naiwna, ale naiwnych ludzi nie brakuje na świecie. A za naiwnosc sie płaci (zycie zna takie historie kiedy silny i pociagajacy  samiec alfa czasem przygrzmoci naszej romantyczce lub zostawi bidulę z brzuchem i dalej poleci rozsiewac ...              ",negative,3
"Połączenie komedii romantycznej z soft porno.                        Film dosłownie wieje beznadzieją, nie doszukałem się żadnych pozytywnych aspektów. Postacie grane sztywno, schematycznie, jakby rodem wyjęte z licealnego koła teatralnego. Dialogi nadają się raczej bardziej do taniego porno, niż produkcji kinowej, a cała historia jest odrealniona.Film dla zagubionych, średnio inteligentnych kobiet, które marzą o byciu zniewolonym.              ",negative,1
"Idealny film dla krytyków, bo krytykować można w nim wszystko.                        Nie ulegam opiniom i wyrabiam sobie zdanie dopiero po obejrzeniu filmu. Chyba nigdy nie żałowałam tak spędzonych dwóch godzin. Gra aktorska? Ciężko mówić o czymś, czego nie było. Główni aktorzy wyłonieni chyba przez niewidomego. Zero emocji, przekazu treści. Nie spodziewałam się górnolotnego seansu, ale naprawdę film można było zrobić o wiele, WIELE ...              ",negative,2
"Chciałabym odzobaczyć                        film totalna klapa. Mam wrażenie, że o niczym, zwłaszcza w momencie, w którym się zakończył. Brak dokładnych wyjaśnień o co właściwie chodzi. Gra aktorska i teksty tak drętwe, że z trudem się ogląda. Po za tym aktor, który gra to ""mega-hiper-super ciacho"".. wygląda jak chłopiec.               ",negative,1
"Płytki                        Odradzam stanowczo, film bez głębszego przesłania. Nie ratuje go nawet przyzwoita muzyka. Kiepskie dialogi, brak klimatu, nuda ...              ",negative,3
"Film ładnie zrobiony                         Nie rozumiem tylu negatywnych opinii na temat tego filmu, że soft porno, że dla gimbusów bądź niewyżytych kur domowych. Film jest na podstawie książki, taka już jest ta historia, taką ją autorka napisała więc w filmie jest trochę seksu, ciężko żeby go nie było w filmie o właśnie takiej tematyce. Ponadto idąc do kina chyba każdy wie o czym jest ten film, więc jak komuś nie pasuje to niech na niego ...              ",positive,8
"Jakie czasy ... taka podnieta...                        Cóż... Trudno oceniać to coś co nie zasługuje na miano filmu, no chyba, że znajdziemy jakąś nową kategorię - bo ani to porno.... ani romans.Jakie to straszne czasy, że ludzie uznają za ciekawe bicie kobiet... i traktowanie ich jak przedmiot - no i jeszcze dorabiają do tego historię...               ",negative,2
"Strzał w kolano dla wszystkich facetówStarałem się przeczytać książkę. Uwierzcie mi, naprawdę się starałem. Jednak nie wytrzymałem wyidealizowanego opisu postaci Greya. Młody, przystojny, milioner, demon seksu, właściciel ogromnej korporacji i do tego z mnóstwem wolnego czasu, który w całości poświęca kobiecie. Powinien jeszcze w międzyczasie ratować świat. Jaki będzie efekt? Wszystkie kobiety wyjdą rozmarzone ...",positive,6
"Śmierdzące gówno w srebrnym celofaniku...Włączam ja sobie to filmidło, oczywiście z wielkimi obawami. No i nie zawiodłem się bo oczekiwania miałem takie, jakbym korzystał z kibla postawionego na środku opuszczonej wsi. Mierne aktorstwo, początkujący lub pozbawieni talentu tzw. ""aktorzy"", którzy mogą być idolami najwyżej nastolatków z polskiego gimnazjum. Zero klimatu, pikanterii, tajemnicy, niedomówień. Treść bez ...",negative,2
"Całkowite zaskoczenieOd razu zaznaczę, że nie czytałam książki. Do filmu podchodziłam delikatnie mówiąc sceptycznie, a tak naprawdę chciałam go obejrzeć tylko po to, by móc go skrytykować. Nastawiałam się, że jest to film dla nastolatek, epatujący wulgarnym seksem i żadnemu dorosłemu człowiekowi ze zdrowym i dojrzałym podejściem do seksualności się nie spodoba. I tutaj następuje chwila konsternacji... Gdyż z bólem ...",positive,6
"""Boże, zaraz się zrzygam""..Słowa Koroniewskiej chyba najlepiej opisują to dzieło. Wszystko w tym filmie było złe; ""fabuła"", postaci, aktorzy, najgorsze na świecie dialogi. Totalny dramat, gorszy nawet od ""Zmierzchu"". Plus za realizm typu prawdziwe cycki, włosy łonowe, bujne owłosienie na udach kobiety i pryszcze na klacie kolesia. Typka przez 99% filmu wyglądała jakby się miała zaraz rozpłakać, koleś totalna pustka ...",negative,1
"Jak ""Zmierzch""nie wiem czy ktos to zauważył ale mnie zalatuje Zmierzchem. Dialogi takie jak ""powinnaś sie trzymać ode mnie z daleka"", sama gra aktorów. Dopiero widziałam 15 min filmu a juz mnie roznosi ta zmierzchowa oschłość...",positive,8
"Nie tak złe, jak sądziłam.",neutral,5
"Może gdyby ktoś próbował uratować ten film przed dialogami i chłopięcym Greyem...Dialogi były tak złe jak tylko mogły. Oglądaliśmy ten film w łóżku z narzeczonym i przez większość filmu skręcaliśmy się ze śmiechu przy każdym dialogu (najlepszy był fragment: ""I don't make love. I f..k. Hard.""). To było naprawdę złe. Dakota jeszcze coś tam próbowała (choć dla mnie jest raczej brzydka i aseksualna), ale to na niewiele ...",negative,2
"Film dla ""ajfonowych"" lemingów z ujemnym IQ.Ten film nie jest filmem.Darwin nie miał racji...ewolucja ukierunkowana jest w stronę małpy a nie na odwrót.Niskie pobudki,wyzelowane z wartości życie i zapampersione marzenia.Duplikat staje się powtórką remake'ów.",negative,1
"""Porno"" dla ubogich (mieszczek)Dla młodszych nastolatek i znudzonych gospodyń domowych na podobnym poziomie rozwoju intelektualnego i emocjonalnego. Filmidło, romansidło jadące na kilku chamskich zasadach. Że każda potwora marzy o rycerzu w lśniącej zbroi, czyli... kimkolwiek bogatym (a która nie puści się za dobry samochód, laptopa i kilka innych dodatków?). Że ""jak bije, to kocha"" (a za mniejsze gifty wiele ...",negative,4
"SłaboGra aktorska na poziomie polskiej reprezentacji piłki nożnej. Drewno. Ogólnie to naiwny film o krzywdzącej miłości, nic specjalnego.",negative,3
"To najbardziej antyfeministyczna rzecz w dziejach świata i to nawet nie dlatego że on ją napier*dala po dupie czy po czym tam.Rzecz w tym że Christianek jest w tym filmie wyidealizowaną studnią bez dna (Adonis z sześciopakiem, rucha jak Zeus, forsy ma jak wujek Sknerus, mówi po Francusku, gra na fortepianie, pilotuje helikopter, zbudował syna, zasadził dom, spłodził drzewo), a Anastasia nie prezentuje sobą nic. To ...",negative,1
"Prawdziwy dramatNa wstępię napiszę,iz nie przeczytalam ksiazki i uwazam ze nie jest to warunek aby ocenic film.Zaloze sie ze wiekszosc z was obejrzala niejeden film,nie siegajac wczesniej po ksiazke.Gra aktorska Dakoty Johnson w tym filmie to amatorszczyzna az do bolu.W90% filmu ma oczy jelonka,przygryzione usta i wciąż wzdycha.Jej reakcje byly przerysowane az nienaturalne.Komedią było jej przezywanie orgazmu ...",negative,1
