detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
negative,negative,"[mężczyzna, sam, para, ja, system, bez, razy, lekko, zimno]","[niestety, to, żelazko, samo, nie, chce, prasować, jestem, mężczyzna, i, dzisiaj, sam, prasowałem, koszule, niestety, zdarzało, sie, że, krople, i, to, całkiem, spore, leciały, z, żelazka, a, nie, para, może, ja, niedouczony, system, uderzenia, pary, bez, przesady, 2, razy, dmuchnął, parą, po, naciśnięciu, na, guziczek, a, potem, dychawicznie, i, trzeba, poczekać, stopka, suwa, sie, nie, zupełnie, lekko, ale, tak, jak, by, po, drobniutkim, papierze, ściernym, żelazko, jak, żelazko, prasować, prasuje, na, zimno, nie, chce, jak, to, reklamują, to, tyle, może, komuś, sie, przyda, ta, informacja, zaznaczam, że, nie, jestem, w, żaden, sposób, związany, z, producentem]",3.0,-0.031578947368421054,"Niestety to żelazko samo nie chce prasować. Jestem mężczyzna i dzisiaj sam prasowałem koszule :( Niestety zdarzało sie że krople i to całkiem spore leciały z żelazka, a nie para (może ja niedouczony ) System uderzenia pary bez przesady 2 razy dmuchnął parą po naciśnięciu na guziczek a potem dychawicznie i trzeba poczekać. Stopka suwa sie nie zupełnie lekko ale tak jak by po drobniutkim papierze ściernym. Żelazko jak żelazko prasować prasuje na zimno nie chce jak to reklamują. To tyle może komuś sie przyda ta informacja. Zaznaczam że nie jestem w żaden sposób związany  z producentem ",97.0,95.0,9.0
positive,positive,"[rewelacyjny, woda, długi, kabel, kabel, czas, absolutny, komfort, przyjemność]","[rewelacyjny, produkt, za, dobrą, cenęsuper, wygłąda, żelazko, jest, w, miarę, ciężkie, i, bardzo, dobrze, się, ślizga, co, zapewnia, bardzo, wysoką, jakość, prasowania, przy, minimalnym, wysiłku, przy, prasowaniu, nawet, na, niskich, temperaturach, z, żelazka, nie, wycieka, woda, a, więc, nie, ma, tych, irytujących, plam, na, ciuszkach, funkcja, pionowego, uderzenia, pary, pozwala, prasować, zasłony, i, ubrania, w, pozycji, wertykalnej, prosto, na, wieszaku, zaletą, jest, też, długi, kabel, oraz, kulowe, połączenie, przewodudzięki, czemu, kabel, nie, skręca, się, przy, samym, żelazku, pod, czas, prasowaniano, i, ta, spiczasta, końcówka, się, przydaje, przy, prasowaniu, trudno, dostępnych, miejsc, wszystko, to, zapewnia, łatwość, i, absolutny, komfort, prasowaniaaż, chcę, ...]",5.0,0.05105105105105105,"Rewelacyjny produkt za dobrą cenę,super wygłąda, żelazko jest w miarę ciężkie i bardzo dobrze się ślizga, co zapewnia bardzo wysoką jakość prasowania przy minimalnym wysiłku. Przy prasowaniu nawet na niskich temperaturach z żelazka nie wycieka woda, a więc nie ma tych irytujących plam na ciuszkach. Funkcja pionowego uderzenia pary pozwala prasować zasłony i ubrania w pozycji wertykalnej, prosto na wieszaku. Zaletą jest też długi kabel oraz kulowe połączenie przewodu,dzięki czemu kabel nie skręca się przy samym żelazku pod czas prasowania.No i ta spiczasta końcówka się przydaje przy prasowaniu trudno dostępnych miejsc. Wszystko to zapewnia łatwość i absolutny komfort prasowania,aż chcę się prasować, sama przyjemność :-)
Zdecydowanie polecam, ""must have"" dla każdego domu :-)",113.0,111.0,9.0
negative,positive,"[moc, uderzenie, długi, kabel, powrót, niepraktyczny, plastikowy, funkcjonalność]","[żelazko, użytkuję, od, niedawna, a, oto, pierwsze, wrażenia, bardzo, dobrze, spełnia, swoją, podstawową, funkcję, użytkową, jaką, jest, prasowanie, ma, co, trzeba, odpowiednią, moc, ciężar, dobrą, i, dobrze, wyprofilowaną, stopę, spryskiwacz, mocne, uderzenie, pary, oczyszczanie, długi, kabel, spory, zbiornik, na, wodę, z, którego, się, nie, leje, ani, nie, kapie, to, do, czego, można, się, przyczepić, 1, podczas, pracy, przy, parze, powrót, żelazka, do, pozycji, pionowej, powoduje, krótkotrwałe, skwierczenie, wody, widocznie, dostaje, się, do, zakamarków, gdzie, nie, miała, dostępu, w, pozycji, poziomej, 2, przy, pewnym, mocnym, uchwycie, dłonią, odkształca, się, obudowa, tuż, pod, przyciskiem, spryskiwacza, mam, do, czynienia, z, ""pykaniem"", kiedy, w, ...]",4.0,-0.030463576158940395,"Żelazko użytkuję od niedawna, a oto pierwsze wrażenia.

Bardzo dobrze spełnia swoją podstawową funkcję użytkową jaką jest prasowanie. Ma, co trzeba: odpowiednią moc, ciężar, dobrą i dobrze wyprofilowaną stopę, spryskiwacz, mocne uderzenie pary, oczyszczanie, długi kabel, spory zbiornik na wodę, z którego się nie leje, ani nie kapie.

To, do czego można się przyczepić:

1) Podczas pracy przy parze powrót żelazka do pozycji pionowej powoduje krótkotrwałe skwierczenie wody (widocznie dostaje się do zakamarków, gdzie nie miała dostępu w pozycji poziomej).

2) Przy pewnym mocnym uchwycie dłonią odkształca się obudowa tuż pod przyciskiem spryskiwacza - mam do czynienia z ""pykaniem"", kiedy w sposób niekontrolowany uciskam tę część kciukiem.

3) Niepraktyczny rzep przy kablu. Do spinania kabla stosuję plastikowy spinacz od starego Philipsa.

4) Trochę luźne, ""latające"" przyciski spryskiwacza i wyrzutu pary.

Mimo wymienionych ""defektów"", które w zasadzie nie mają dużego wpływu na funkcjonalność, polecam to żelazko, tym bardziej, że cena nie jest wygórowana.",152.0,151.0,8.0
negative,negative,"[były, wada, kabel]","[mam, za, sobą, ponad, 50, tys, wyprasowanych, koszul, używałam, różnych, żelazek, różnych, producentów, kiedyś, żelazka, philipsa, były, bardzo, dobrej, jakości, chociaż, zawsze, należały, do, tych, droższych, dziś, pozostała, wysoka, cena, i, wygląd, żelazka, nowej, generacji, poniszczyły, koszule, w, sposób, nie, do, uratowania, pozostawiają, rdzawe, kropki, chciałabym, podkreślić, że, bardzo, dbam, o, sprzęt, i, regularnie, czyszczę, myślę, że, to, wada, technologiczna, która, ""przepuszcza"", zanieczyszczenia, przez, kabel, doprowadzający, parę, przez, rok, prowadziłam, korespondencję, z, firmą, philips, niestety, w, tonie, ""my, wiemy, lepiej"", i, braku, dbałości, o, dobrą, opinię]",1.0,-0.011627906976744186,"Mam za sobą ponad 50 tys wyprasowanych koszul, używałam różnych żelazek różnych producentów. Kiedyś żelazka Philips'a były bardzo dobrej jakości, chociaż zawsze należały do tych droższych. Dziś pozostała wysoka cena i wygląd. Żelazka nowej generacji poniszczyły koszule w sposób nie do uratowania - pozostawiają rdzawe kropki. Chciałabym podkreślić, że bardzo dbam o sprzęt i regularnie czyszczę. Myślę, że to wada technologiczna, która ""przepuszcza"" zanieczyszczenia przez kabel doprowadzający parę. Przez rok prowadziłam korespondencję z firmą Philips. Niestety w tonie ""my wiemy lepiej"" i braku dbałości o dobrą  opinię.",87.0,86.0,3.0
neutral,positive,[],"[ciężkie, z, dość, dużą, stopą, bardzo, wygodne, w, użyciu, dotychczas, nie, napotkaliśmy, żadnych, wad]",5.0,0.0,"ciężkie, z dość dużą stopą, bardzo wygodne w użyciu. Dotychczas nie napotkaliśmy żadnych wad.",14.0,14.0,0.0
negative,positive,"[lekko, go]","[pomimo, krótkiego, czasu, użytkowania, żelazko, sprawdziło, się, rewelacyjnie, sprawdza, się, przy, bardzo, pogniecionych, rzeczach, przy, tym, bardzo, lekko, się, sunie, nie, zamieniłabym, go, na, żadne, inne, jak, najbardziej, polecam]",5.0,-0.034482758620689655,"Pomimo krótkiego czasu użytkowania żelazko sprawdziło się REWELACYJNIE! Sprawdza się przy bardzo pogniecionych rzeczach, przy tym bardzo lekko się sunie. Nie zamieniłabym go na żadne inne.
JAK NAJBARDZIEJ POLECAM!!",29.0,29.0,2.0
negative,positive,"[system, sprawa, wada]","[bardzo, dobre, żelazko, system, przeciw, kapaniu, super, sprawa, we, wcześniejszym, 3320, philipsie, nie, byłoi, to, była, jego, największa, wada]",4.0,-0.05263157894736842,"Bardzo dobre żelazko , system przeciw kapaniu super sprawa we wcześniejszym 3320 philipsie nie było(i to była jego największa wada )",21.0,19.0,3.0
neutral,positive,[wrażenie],"[po, pierwszym, prasowaniu, bardzo, dobre, wrażenie, trochę, za, głośne, przeszkadza, w, ""oglądaniu"", tv]",4.0,0.0,"Po pierwszym prasowaniu - bardzo dobre wrażenie. Trochę za głośne - przeszkadza w ""oglądaniu"" TV.",15.0,13.0,1.0
negative,positive,"[lekko, duży, wyrzut, poza]","[żelazko, dobrej, jakości, ciężkie, co, jest, chyba, zaletą, lekko, przesuwa, się, po, tkaninie, duży, wyrzut, pary, trochę, małowidoczna, wilość, wody, w, zbiorniku, ale, poza, tym, ok]",4.0,-0.08333333333333334,"żelazko dobrej jakości, ciężkie - co jest chyba zaletą, lekko przesuwa się po tkaninie, duży wyrzut pary, trochę małowidoczna wilość wody w zbiorniku, ale poza tym ok.",27.0,26.0,4.0
neutral,positive,[],"[narazie, opini, użytkowania, nie, napisze, bo, produkt, mam, za, krótko]",4.0,0.0,Narazie opini użytkowania nie napisze bo produkt mam za krótko.,10.0,10.0,0.0
